,EndDate,Value,TimePeriod,PerformanceType,perf
17,2019-01-31,10.54332,M1,1,1.1054332
18,2019-02-28,8.07651,M1,1,1.19471362294132
19,2019-03-31,1.647,M1,1,1.2143905563111634
20,2019-04-30,5.25595,M1,1,1.2782183167556
21,2019-05-31,-9.73424,M1,1,1.1537934780786496
22,2019-06-30,8.61191,M1,1,1.2531571339966525
23,2019-07-31,-1.14835,M1,1,1.238766504048402
24,2019-08-31,-5.28687,M1,1,1.1732745293758182
25,2019-09-30,3.11222,M1,1,1.2097894139339582
26,2019-10-31,2.98592,M1,1,1.2459127580024951
27,2019-11-30,5.54726,M1,1,1.3150267780620644
28,2019-12-31,2.53852,M1,1,1.3484089958285257
5,2020-01-31,0.93655,M1,1,1.3610375202789575
6,2020-02-29,-6.86183,M1,1,1.2676454394012
7,2020-03-31,-12.28666,M1,1,1.1118941542564684
8,2020-04-30,14.80014,M1,1,1.2764560457382417
9,2020-05-31,11.08214,M1,1,1.4179146917654177
10,2020-06-30,4.14941,M1,1,1.4767497857770011
11,2020-07-31,5.96619,M1,1,1.56485548382105
12,2020-08-31,6.137,M1,1,1.6608906648631476
13,2020-09-30,-0.91949,M1,1,1.6456189412887974
14,2020-10-31,0.69007,M1,1,1.656974863916949
15,2020-11-30,12.18244,M1,1,1.858834832528713
16,2020-12-31,5.07162,M1,1,1.953107871662206
0,2021-01-31,1.12776,M1,1,1.9751342409956638
1,2021-02-28,0.99128,M1,1,1.9947133516998055
2,2021-03-31,-0.08343,M1,1,1.9930491623504825
3,2021-04-30,3.68387,M1,1,2.0664705025275634
4,2021-05-31,-0.33635,M1,1,2.059519928992312
